,formattedAddress,location,rating,regularOpeningHours,businessStatus,userRatingCount,displayName,primaryTypeDisplayName,postalAddress,websiteUri,priceRange
0,"C. 27 117, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.894740499999997, 'longitude': -89.7314854}",5.0,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 17, 'minute': 0}, 'close': {'day': 0, 'hour': 23, 'minute': 0}}, {'open': {'day': 1, 'hour': 17, 'minute': 0}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 17, 'minute': 0}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 17, 'minute': 0}, 'close': {'day': 3, 'hour': 23, 'minute': 0}}, {'open': {'day': 4, 'hour': 17, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 17, 'minute': 0}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 17, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 5:00\u2009–\u200911:00\u202fPM', 'Tuesday: 5:00\u2009–\u200911:00\u202fPM', 'Wednesday: 5:00\u2009–\u200911:00\u202fPM', 'Thursday: 5:00\u2009–\u200911:00\u202fPM', 'Friday: 5:00\u2009–\u200911:00\u202fPM', 'Saturday: 5:00\u2009–\u200911:00\u202fPM', 'Sunday: 5:00\u2009–\u200911:00\u202fPM'], 'nextCloseTime': '2025-10-21T05:00:00Z'}",OPERATIONAL,2.0,"{'text': 'Frappe shop suc san lorenzo', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97390', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'Umán', 'addressLines': ['C. 27 117']}",,
1,"C. 27 131, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.8945503, 'longitude': -89.732288}",3.0,"{'openNow': True, 'periods': [{'open': {'day': 1, 'hour': 7, 'minute': 30}, 'close': {'day': 1, 'hour': 11, 'minute': 30}}, {'open': {'day': 1, 'hour': 18, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 30}}, {'open': {'day': 2, 'hour': 7, 'minute': 30}, 'close': {'day': 2, 'hour': 11, 'minute': 30}}, {'open': {'day': 2, 'hour': 18, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 30}}, {'open': {'day': 3, 'hour': 7, 'minute': 30}, 'close': {'day': 3, 'hour': 11, 'minute': 30}}, {'open': {'day': 3, 'hour': 18, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 30}}, {'open': {'day': 4, 'hour': 7, 'minute': 30}, 'close': {'day': 4, 'hour': 11, 'minute': 30}}, {'open': {'day': 4, 'hour': 18, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 30}}, {'open': {'day': 5, 'hour': 7, 'minute': 30}, 'close': {'day': 5, 'hour': 11, 'minute': 30}}, {'open': {'day': 5, 'hour': 18, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 30}}, {'open': {'day': 6, 'hour': 7, 'minute': 30}, 'close': {'day': 6, 'hour': 11, 'minute': 30}}, {'open': {'day': 6, 'hour': 18, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 30}}], 'weekdayDescriptions': ['Monday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Tuesday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Wednesday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Thursday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Friday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Saturday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Sunday: Closed'], 'nextCloseTime': '2025-10-21T04:30:00Z'}",OPERATIONAL,5.0,"{'text': 'Panucheria Doña Yolí', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97390', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'San Lorenzo, Umán', 'addressLines': ['C. 27 131']}",,
2,"C. 20, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.8915676, 'longitude': -89.73026759999999}",5.0,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 6, 'minute': 0}, 'close': {'day': 0, 'hour': 12, 'minute': 0}}, {'open': {'day': 1, 'hour': 6, 'minute': 0}, 'close': {'day': 1, 'hour': 12, 'minute': 0}}, {'open': {'day': 2, 'hour': 6, 'minute': 0}, 'close': {'day': 2, 'hour': 12, 'minute': 0}}, {'open': {'day': 3, 'hour': 6, 'minute': 0}, 'close': {'day': 3, 'hour': 12, 'minute': 0}}, {'open': {'day': 4, 'hour': 6, 'minute': 0}, 'close': {'day': 4, 'hour': 12, 'minute': 0}}, {'open': {'day': 5, 'hour': 6, 'minute': 0}, 'close': {'day': 5, 'hour': 12, 'minute': 0}}, {'open': {'day': 6, 'hour': 6, 'minute': 0}, 'close': {'day': 6, 'hour': 12, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fPM'], 'nextOpenTime': '2025-10-21T12:00:00Z'}",OPERATIONAL,1.0,"{'text': 'Taquería mi Angel', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97390', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'Umán', 'addressLines': ['C. 20']}",,
3,"Campeche-Mérida 11592, 97392 Mérida, Yuc., Mexico","{'latitude': 20.8941657, 'longitude': -89.69346639999999}",,,OPERATIONAL,,"{'text': 'Barra andatti Gourmet Santa Cruz', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97392', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['Campeche-Mérida 11592']}",,
4,"97300 San Marcos Sustentable, 97300 Mérida, Yuc., Mexico","{'latitude': 20.900779, 'longitude': -89.6664215}",5.0,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 7, 'minute': 0}, 'close': {'day': 0, 'hour': 11, 'minute': 0}}, {'open': {'day': 1, 'hour': 6, 'minute': 0}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 6, 'minute': 0}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 6, 'minute': 0}, 'close': {'day': 3, 'hour': 23, 'minute': 0}}, {'open': {'day': 4, 'hour': 6, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 6, 'minute': 0}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 6, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 30}}], 'weekdayDescriptions': ['Monday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 7:00\u2009–\u200911:00\u202fAM'], 'nextCloseTime': '2025-10-21T05:00:00Z'}",OPERATIONAL,5.0,"{'text': 'NIÑOS SANTOS CAFÉ GOURMET', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97300', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['97300 San Marcos Sustentable']}",,
5,"97295 Merida, Yucatan, Mexico","{'latitude': 20.898615600000003, 'longitude': -89.66505029999999}",4.5,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 18, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 0}}, {'open': {'day': 1, 'hour': 18, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 2, 'hour': 18, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 18, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 18, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 18, 'minute': 30}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 6:00\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u2009–\u200910:00\u202fPM', 'Wednesday: Closed', 'Thursday: 6:00\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u2009–\u200910:00\u202fPM', 'Saturday: 6:30\u2009–\u200910:00\u202fPM', 'Sunday: 6:00\u2009–\u200910:00\u202fPM'], 'nextCloseTime': '2025-10-21T04:00:00Z'}",OPERATIONAL,14.0,"{'text': ""Moheno's Café"", 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'administrativeArea': 'Yucatan', 'locality': 'Merida'}",,
6,"97297, San Antonio Xluch III, 97297 Mérida, Yuc., Mexico","{'latitude': 20.8998015, 'longitude': -89.649911}",5.0,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 16, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 0}}, {'open': {'day': 1, 'hour': 16, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 16, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 16, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 16, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 16, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 4:00\u2009–\u200910:00\u202fPM', 'Friday: 4:00\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: 4:00\u2009–\u200910:00\u202fPM'], 'nextCloseTime': '2025-10-21T04:00:00Z'}",OPERATIONAL,1.0,"{'text': 'Cherry Whispers: Lushbar Coffee', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97297', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'San Antonio Xluch III', 'addressLines': ['97297']}",,
7,"C. 191 1, Guadalupana, 97315 Mérida, Yuc., Mexico","{'latitude': 20.8954217, 'longitude': -89.63660670000002}",5.0,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 16, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 0}}, {'open': {'day': 1, 'hour': 16, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 2, 'hour': 16, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 16, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 16, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 16, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 16, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: 4:00\u2009–\u200910:00\u202fPM', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 4:00\u2009–\u200910:00\u202fPM', 'Friday: 4:00\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: 4:00\u2009–\u200910:00\u202fPM'], 'nextCloseTime': '2025-10-21T04:00:00Z'}",OPERATIONAL,4.0,"{'text': 'Cafeteria 191', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97315', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'Guadalupana', 'addressLines': ['C. 191 1']}",,
8,"C. 179 522, Plan de Ayala II, 97285 Mérida, Yuc., Mexico","{'latitude': 20.900927199999998, 'longitude': -89.6207714}",4.5,,OPERATIONAL,4.0,"{'text': 'Yo elijo Mara', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97285', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'Plan de Ayala II', 'addressLines': ['C. 179 522']}",,
9,"Municipio de Kanasín C 5b int 32 #291, frac Santa ana, 97376 Kanasin, Yuc., Mexico","{'latitude': 20.896414399999998, 'longitude': -89.5450458}",5.0,,OPERATIONAL,1.0,"{'text': 'Nube', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97376', 'administrativeArea': 'Yucatan', 'locality': 'Kanasin', 'sublocality': 'frac Santa ana', 'addressLines': ['Municipio de Kanasín C 5b int 32 #291']}",,
10,"C. 31 40, Itzincab, 97392 Itzincab, Yuc., Mexico","{'latitude': 20.9123341, 'longitude': -89.6928306}",4.5,"{'openNow': True, 'periods': [{'open': {'day': 1, 'hour': 19, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 2, 'hour': 19, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 19, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 19, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 19, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 19, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 7:00\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed'], 'nextCloseTime': '2025-10-21T04:00:00Z'}",OPERATIONAL,2.0,"{'text': 'Waffleria la terraza', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97392', 'administrativeArea': 'Yucatan', 'locality': 'Itzincab', 'addressLines': ['C. 31 40']}",,
11,"71x 73, El Roble Agrícola, 97295 Mérida, Yuc., Mexico","{'latitude': 20.9075046, 'longitude': -89.67659359999999}",,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 6, 'minute': 0}, 'close': {'day': 0, 'hour': 13, 'minute': 0}}, {'open': {'day': 1, 'hour': 17, 'minute': 30}, 'close': {'day': 2, 'hour': 9, 'minute': 30}}, {'open': {'day': 2, 'hour': 17, 'minute': 30}, 'close': {'day': 2, 'hour': 21, 'minute': 30}}, {'open': {'day': 3, 'hour': 17, 'minute': 30}, 'close': {'day': 3, 'hour': 21, 'minute': 30}}, {'open': {'day': 4, 'hour': 17, 'minute': 30}, 'close': {'day': 4, 'hour': 21, 'minute': 0}}, {'open': {'day': 5, 'hour': 17, 'minute': 30}, 'close': {'day': 5, 'hour': 21, 'minute': 30}}, {'open': {'day': 6, 'hour': 6, 'minute': 0}, 'close': {'day': 6, 'hour': 13, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 5:30\u202fPM\u2009–\u20099:30\u202fAM', 'Tuesday: 5:30\u2009–\u20099:30\u202fPM', 'Wednesday: 5:30\u2009–\u20099:30\u202fPM', 'Thursday: 5:30\u2009–\u20099:00\u202fPM', 'Friday: 5:30\u2009–\u20099:30\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20091:00\u202fPM'], 'nextCloseTime': '2025-10-21T15:30:00Z'}",OPERATIONAL,,"{'text': 'Taquería el tolok', 'languageCode': 'es'}","{'text': 'Restaurant', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97295', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['71x 73']}",,
12,"Calle 63-C 356 97255, entre 10 y 14, col roble, San Marcos Nocoh I, 97255 Mérida, Yuc., Mexico","{'latitude': 20.912180199999998, 'longitude': -89.673693}",5.0,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 16, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 30}}, {'open': {'day': 4, 'hour': 16, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 30}}, {'open': {'day': 5, 'hour': 16, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 30}}, {'open': {'day': 6, 'hour': 16, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 30}}], 'weekdayDescriptions': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 4:00\u2009–\u200910:30\u202fPM', 'Friday: 4:00\u2009–\u200910:30\u202fPM', 'Saturday: 4:00\u2009–\u200910:30\u202fPM', 'Sunday: 4:00\u2009–\u200910:30\u202fPM'], 'nextOpenTime': '2025-10-23T22:00:00Z'}",OPERATIONAL,3.0,"{'text': 'Kapola Café', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97255', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'col roble, San Marcos Nocoh I', 'addressLines': ['Calle 63-C 356 97255, entre 10 y 14']}",https://www.facebook.com/kapolacafe,
13,"Calle 173 S.N, C. 173 S. N, entre Calle 90A, Sin Nombre de Col 18, 97297 Mérida, Yuc., Mexico","{'latitude': 20.906694299999998, 'longitude': -89.65199}",5.0,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 15, 'minute': 0}, 'close': {'day': 1, 'hour': 0, 'minute': 0}}, {'open': {'day': 2, 'hour': 15, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 15, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 15, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 15, 'minute': 0}, 'close': {'day': 5, 'hour': 23, 'minute': 30}}, {'open': {'day': 6, 'hour': 15, 'minute': 0}, 'close': {'day': 0, 'hour': 0, 'minute': 0}}], 'weekdayDescriptions': ['Monday: Closed', 'Tuesday: 3:00\u2009–\u200910:00\u202fPM', 'Wednesday: 3:00\u2009–\u200910:00\u202fPM', 'Thursday: 3:00\u2009–\u200911:00\u202fPM', 'Friday: 3:00\u2009–\u200911:30\u202fPM', 'Saturday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 3:00\u202fPM\u2009–\u200912:00\u202fAM'], 'nextOpenTime': '2025-10-21T21:00:00Z'}",OPERATIONAL,3.0,"{'text': 'Frappés Patito', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97297', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['Calle 173 S.N', 'C. 173 S. N, MZ Y 92 entre Calle 90A']}",,
14,"Sin Nombre de Col 18, 97297 Mérida, Yuc., Mexico","{'latitude': 20.9128664, 'longitude': -89.6540265}",4.5,,OPERATIONAL,2.0,"{'text': 'Casita De Lis Y Noé', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97297', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'Sin Nombre de Colonia 18'}",,
15,"C. 171F, Sin Nombre de Col 17, 97256 Mérida, Yuc., Mexico","{'latitude': 20.9068835, 'longitude': -89.6471846}",,"{'openNow': True, 'periods': [{'open': {'day': 1, 'hour': 20, 'minute': 0}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 20, 'minute': 0}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 4, 'hour': 20, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 20, 'minute': 0}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 20, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 8:00\u2009–\u200911:00\u202fPM', 'Tuesday: 8:00\u2009–\u200911:00\u202fPM', 'Wednesday: Closed', 'Thursday: 8:00\u2009–\u200911:00\u202fPM', 'Friday: 8:00\u2009–\u200911:00\u202fPM', 'Saturday: 8:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed'], 'nextCloseTime': '2025-10-21T05:00:00Z'}",OPERATIONAL,,"{'text': ""Frappechinoh's"", 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97256', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['C. 171F']}",,
16,"C. 86 3480, Emiliano Zapata Sur III, 97297 Mérida, Yuc., Mexico","{'latitude': 20.9123141, 'longitude': -89.64732289999999}",5.0,,OPERATIONAL,5.0,"{'text': 'CHIFS Frappes & Snakcs', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97297', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'Emiliano Zapata Sur III', 'addressLines': ['C. 86 3480']}",,"{'startPrice': {'currencyCode': 'MXN', 'units': '1'}, 'endPrice': {'currencyCode': 'MXN', 'units': '100'}}"
17,"C. 86 403A, Emiliano Zapata Sur III, 97297 Mérida, Yuc., Mexico","{'latitude': 20.9122962, 'longitude': -89.6475708}",5.0,,OPERATIONAL,2.0,"{'text': ""Snack's HAPPY BEAR"", 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97297', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'Emiliano Zapata Sur III', 'addressLines': ['C. 86 403A']}",,
18,"C. 149 327, San José Tecoh II, 97298 Mérida, Yuc., Mexico","{'latitude': 20.9145741, 'longitude': -89.6355066}",4.7,"{'openNow': True, 'periods': [{'open': {'day': 1, 'hour': 18, 'minute': 30}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 2, 'hour': 18, 'minute': 30}, 'close': {'day': 2, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 18, 'minute': 30}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 18, 'minute': 30}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 2, 'minute': 30}, 'close': {'day': 5, 'hour': 23, 'minute': 30}}, {'open': {'day': 6, 'hour': 18, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 6:30\u2009–\u200910:00\u202fPM', 'Tuesday: 6:30\u2009–\u200910:00\u202fPM', 'Wednesday: 6:30\u2009–\u200910:00\u202fPM', 'Thursday: 6:30\u2009–\u200910:00\u202fPM', 'Friday: 2:30\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 6:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed'], 'nextCloseTime': '2025-10-21T04:00:00Z'}",OPERATIONAL,23.0,"{'text': 'Sabor y Café', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97298', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'San José Tecoh II', 'addressLines': ['C. 149 327']}",,
19,"C. 50 entre Calle 171, Plan de Ayala Sur, 97285 Mérida, Yuc., Mexico","{'latitude': 20.9047751, 'longitude': -89.6184792}",5.0,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 18, 'minute': 30}, 'close': {'day': 0, 'hour': 23, 'minute': 0}}, {'open': {'day': 1, 'hour': 18, 'minute': 30}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 18, 'minute': 30}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 18, 'minute': 30}, 'close': {'day': 3, 'hour': 21, 'minute': 30}}, {'open': {'day': 5, 'hour': 18, 'minute': 30}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 18, 'minute': 30}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 6:30\u2009–\u200911:00\u202fPM', 'Tuesday: 6:30\u2009–\u200911:00\u202fPM', 'Wednesday: 6:30\u2009–\u20099:30\u202fPM', 'Thursday: Closed', 'Friday: 6:30\u2009–\u200911:00\u202fPM', 'Saturday: 6:30\u2009–\u200911:00\u202fPM', 'Sunday: 6:30\u2009–\u200911:00\u202fPM'], 'nextCloseTime': '2025-10-21T05:00:00Z'}",OPERATIONAL,15.0,"{'text': 'Efrappé', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97285', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['C. 50 entre Calle 171']}",,"{'startPrice': {'currencyCode': 'MXN', 'units': '1'}, 'endPrice': {'currencyCode': 'MXN', 'units': '100'}}"
